DateTime,Location,ItemID,Transaction EmployeeID,Employee Name,Item,Price
2018-01-17 06:00:00,Union Heights,2,101,Lebron James,Fry,0.99
2018-04-06 06:00:00,Union Heights,2,102,Alec Pizza,Fry,0.99
2018-01-30 06:00:00,Union Heights,4,102,Alec Pizza,Shake,1.99
2018-04-10 06:00:00,State Street,2,106,Sheera Grayskull,Fry,0.99
2018-03-28 06:00:00,Union Heights,4,102,Alec Pizza,Shake,1.99
2018-04-20 06:00:00,Union Heights,1,110,Mrs. Fancy Pants,Burger,2.79
2018-03-28 06:00:00,State Street,1,106,Sheera Grayskull,Burger,2.79
2018-02-18 06:00:00,Union Heights,4,102,Alec Pizza,Shake,1.99
2018-02-19 06:00:00,Union Heights,4,102,Alec Pizza,Shake,1.99
2018-03-07 06:00:00,Union Heights,4,101,Lebron James,Shake,1.99
2018-03-28 06:00:00,Union Heights,1,102,Alec Pizza,Burger,2.79
2018-03-09 06:00:00,Union Heights,2,101,Lebron James,Fry,0.99
2018-03-03 06:00:00,State Street,2,106,Sheera Grayskull,Fry,0.99
2018-02-02 06:00:00,Union Heights,4,101,Lebron James,Shake,1.99
2018-01-09 06:00:00,Union Heights,4,102,Alec Pizza,Shake,1.99
2018-04-18 06:00:00,Union Heights,4,102,Alec Pizza,Shake,1.99
2018-02-23 06:00:00,Union Heights,2,101,Lebron James,Fry,0.99
2018-01-22 06:00:00,Union Heights,2,102,Alec Pizza,Fry,0.99
2018-02-02 06:00:00,Union Heights,1,101,Lebron James,Burger,2.79
2018-04-29 06:00:00,State Street,2,106,Sheera Grayskull,Fry,0.99
2018-04-22 06:00:00,Union Heights,4,110,Mrs. Fancy Pants,Shake,1.99
2018-02-12 06:00:00,State Street,1,107,Jeralyn Peterson,Burger,2.79
2018-01-24 06:00:00,State Street,4,106,Sheera Grayskull,Shake,1.99
2018-04-16 06:00:00,Union Heights,2,102,Alec Pizza,Fry,0.99
2018-02-27 06:00:00,Union Heights,4,102,Alec Pizza,Shake,1.99
2018-03-26 06:00:00,Union Heights,4,101,Lebron James,Shake,1.99
2018-01-17 06:00:00,Union Heights,1,102,Alec Pizza,Burger,2.79
2018-04-13 06:00:00,Union Heights,1,102,Alec Pizza,Burger,2.79
2018-01-01 06:00:00,Union Heights,2,102,Alec Pizza,Fry,0.99
